Category,Job ID,Sub ID,URL,Title,Description,Budget Min,Budget Max,Budget Avg,Client Location,Country Normalized,Payment Verified,Relative Date,Absolute Date,Job Type,Experience Level,Allowed Applicant Countries,Skills,OrgNameRaw,OrgNameNormalized,OrgConfidence,OrgType,OrgSource
QA Testing,1.9901789717178693e+18,~021990178971717869313,https://www.upwork.com/jobs/Notificare-transmitere-activitate_~021990178971717869313/?referrer_url_path=/nx/search/jobs/,Notificare transmitere activitate,"As avea nevoie sa creez un fel de aplicatie care sa imi trimite notificare la fiecare final de zi cu cate apeluri nepreluate am avut pe telefon in ziua respectiva. De asemenea as mai avea si alte proiecte de facut insa aceasta este prioritara. Daca crezi ca ma poti ajuta pe partea de programare, astept cu nerabdare un raspuns. Diana B.",,,,Romania,Romania,unknown,Posted 2 days ago,2025-11-16T14:57:00.290Z,Hourly,Intermediate,,"Data Extraction, Data Analysis, SQL, Microsoft Excel, Python, iGaming, Fraud Detection, QA Testing",,,none,individual_or_undefined,none
QA Testing,1.981207156323616e+18,~021981207156323616249,https://www.upwork.com/jobs/Senior-Engineer-Data-Driven-Startup-Environment_~021981207156323616249/?referrer_url_path=/nx/search/jobs/,Senior QA & UX Engineer (Data-Driven • AI • Startup Environment),"We’re a fast-moving Australian startup building My Money Circle, a digital financial-wellbeing platform that combines human coaching and AI to help people build confidence with money.
Our platform includes personalised coaching plans, AI-generated summaries, data-driven dashboards, and integrations with tools like Slack and Microsoft Teams.
We’re small but experienced:
3 part-time developers (Laravel + Vue)
1 AI engineer (project basis)
1 founder-product lead (you’ll work directly with her)
We move quickly, iterate constantly, and deploy to our dev environment several times a week. We need someone who can think fast, be resourceful, and guide us toward a sustainable QA rhythm.
We’re looking for a senior QA engineer who’s comfortable working independently and understands how to test integrated systems — not just click through screens.
You’ll own QA for features that combine:
Complex dependencies (e.g., two session transcripts must exist before generating a coaching plan)
AI-driven outputs (prompt-based summaries, plan generation)
UX/UI validation (checking screens against Figma and suggesting CX improvements)
Data-seeded testing (creating personas and sample data to simulate user states)
Integrations (connecting Slack / Teams test workspaces to verify end-to-end flows)
You’ll help us design a lean QA approach that fits a startup deploying fast — and show us how to structure collaboration between QA, dev, and AI teams.
What You’ll Do
Understand the platform’s functionality and dependencies quickly
Create and manage test data (SQL/seed scripts for user personas, session transcripts, survey results)
Run end-to-end tests in dev and staging environments (manual + light automation using Playwright/Cypress)
Validate AI feature outputs (prompt responses, structure, safety, consistency)
Review UI/UX against Figma and suggest improvements or inconsistencies
Test Slack and Teams integrations (channels, notifications, events)
Define QA processes and best practices for our small team — regression cadence, golden data sets, bug logging, release sign-off
Communicate clearly with devs and product on findings, priorities, and risks
You’ll Succeed If You:
Learn fast and work independently — you can figure things out with minimal hand-holding
Enjoy working in early-stage environments where priorities shift
Can think through what needs to exist to test properly (not just what’s in front of you)
Are comfortable in both the database and front-end
Can translate test results into actionable insights for developers and designers
Have good judgment about what must be tested vs what’s safe to skip in a startup context",15.0,25.0,20.0,Australia,Australia,TRUE,Posted last week,2025-10-23T03:52:50.001Z,Hourly,Expert,,"Postman, API Testing, Laravel, MySQL, Vue.js, Figma, GitHub",,,none,individual_or_undefined,none
QA Testing,1.9881487496271644e+18,~021988148749627164523,https://www.upwork.com/jobs/Automation-Tester-Remote-Work-Cypress_~021988148749627164523/?referrer_url_path=/nx/search/jobs/,Automation Tester | Remote Work | Cypress,"Location: Remote Work The role: Automation Tester We are looking for an ambitious and self-driven Automation Tester to join our team as we launch a disruptive low-code software development platform, empowering millions to create custom applications to solve problems and streamline processes, without the knowledge of code. You will be working with ground-breaking technology to implement visual elements for users designing their applications and facilitate smooth back-end logic creation for users building processes in their applications. With autonomy, training, and creative input, you will have the chance to advance and grow your career. This role is fast-paced and requires someone with strong levels of initiative and a creative mindset. The stack: JavaScript on the front end and NodeJS and PostgreSQL on the back end Salary: Competitive",,,,India,India,unknown,Posted last week,2025-11-11T14:56:00.089Z,Hourly,Intermediate,,"Automated Testing, Manual Testing, Cypress, WebdriverIO, Selenium, Appium, JavaScript, TypeScript",Automation Tester We,automation tester we,high,product_company,seeking
QA Testing,1.97911255816126e+18,~021979112558161259969,https://www.upwork.com/jobs/Engineer-Playwright-Manual-Automation_~021979112558161259969/?referrer_url_path=/nx/search/jobs/,"QA Engineer (Playwright, Manual & Automation)","We operate a Salesforce-based SaaS platform used globally in the hospitality and property management industry, helping clients streamline reservations, billing, memberships, and operations through a single integrated system. The platform is live, complex, and constantly improving, serving real customers and continuous deployments.
We’re looking for a QA Engineer who combines Playwright automation expertise with sharp manual testing instincts — someone who values precision, communication, and ownership.",,,,United States,United States,unknown,Posted last month,2025-10-18T15:03:00.588Z,Hourly,Expert,,"Web Testing, Docker, Regression Testing, Jenkins, Python, Apache JMeter, JavaScript",The platform,the platform,high,product_company,is_plain
QA Testing,1.990416958191368e+18,~021990416958191368163,https://www.upwork.com/jobs/Engineer-Needed-for-Web-and-Mobile-Applications_~021990416958191368163/?referrer_url_path=/nx/search/jobs/,QA Engineer Needed for Web and Mobile Applications,"We are seeking a skilled QA Engineer to join our team for 20 hours per week. The ideal candidate should have a solid understanding of JavaScript, specifically with React and React Native frameworks. Familiarity with AWS, PostgreSQL, GitLab, and CI/CD processes is essential to ensure a smooth deployment pipeline and effective testing. You will be responsible for writing tests:
(1) End-to-end playwright tests for frontend
(2) Unit tests / Vitests for frontend
(3) Setting up Detox tests and writing for react native mobile apps (4) Doing Manual QA in test environments for Frontend, Backend and Mobile
+ Identifying bugs and ensuring high-quality standards are met in our applications. If you have a passion for quality assurance and a keen eye for detail, we would love to hear from you!",,,,Germany,Germany,unknown,Posted yesterday,2025-11-17T14:55:00.488Z,Hourly,Intermediate,,"Web Testing, Manual Testing, Functional Testing, Mobile App Testing, GitLab, Software QA, JavaScript",Mobile Applications We,mobile applications we,high,product_company,seeking
QA Testing,1.9861236681658693e+18,~021986123668165869302,https://www.upwork.com/jobs/Engineer_~021986123668165869302/?referrer_url_path=/nx/search/jobs/,QA Engineer,Request to connect for further communication regarding milestoned project for our team,,,,India,India,unknown,Posted 2 weeks ago,2025-11-04T14:58:00.190Z,Hourly,Intermediate,,"Software Testing, Test Results & Analysis, Unit Testing, pytest, Jest, JUnit, Manual Testing",,,none,individual_or_undefined,none
QA Testing,1.983514017781393e+18,~021983514017781392816,https://www.upwork.com/jobs/Automation-Specialist-Needed-n8n-Apify-Clay-Reply-Multi-Layer-Outreach-Setup_~021983514017781392816/?referrer_url_path=/nx/search/jobs/,Automation Specialist Needed — n8n + Apify + Clay + Reply.io Multi-Layer Outreach Setup,"We are looking for an experienced automation and data workflow specialist who can help us set up a seamless outreach system integrating n8n, Apify, Clay, and Reply.io.
The goal is to:
Scrape and collect data using Apify.
Automate workflows in n8n to process and organize the collected data.
Enrich the data using Clay for enhanced targeting.
Use the enriched dataset within Reply.io to execute a five-layer outreach campaign across:
Email
LinkedIn messages
SMS
WhatsApp texts
Phone calls
We’re looking for someone who can assist with the full setup — or at least the n8n and Apify integration part.
If you’re confident in your ability to contribute to any stage of this workflow, we’d love to hear from you.
If this project interests you, please apply for this job, and let’s talk to explore how we can move forward together.
Thank you for your time — we look forward to hearing from you!",,,,Canada,Canada,unknown,Posted 3 weeks ago,2025-10-28T15:00:00.289Z,Hourly,Intermediate,,"Flutter, Dart, Android, Mobile App Development, iOS Development, Hybrid App Development, n8n",Outreach Setup We,outreach setup we,high,product_company,seeking
QA Testing,1.974384010744131e+18,~021974384010744131238,https://www.upwork.com/jobs/Automations-Specialist-Make-com_~021974384010744131238/?referrer_url_path=/nx/search/jobs/,Automations Specialist (Make.com),"Who We Are
Contour Education is reshaping what great education looks like at scale. Founded in 2020, we have grown from a handful of students to 8,000+ students and 320+ team members in just a few years, and we are only getting started.
We provide an ecosystem of support: weekly small-group tutoring sessions at our campuses, 1:1 personal support, and a comprehensive online learning portal packed with resources, practice material, and workshops. Our students consistently achieve exceptional results in school assessments, selective entry exams, and university preparation.
Behind the scenes, we run on lean operations, AI-driven automation, and modern tech systems. That is how we have been able to scale so quickly while maintaining a premium learning experience for every student.
We have been recognized three years in a row as one of the Australian Financial Review's Fastest Growing Startups, but growth is not our endgame. Our vision is bigger: to build the most effective education platform in Australia, combining human teaching with technology, and to empower every student to achieve their potential.
What You’ll Do
This is not a maintenance or patching role. You will be the hands-on creator and owner of automation systems. That means:
- Build and maintain automation workflows using Make.com
- Integrate platforms such as Google Sheets, HubSpot, Slack, and other SaaS tools
- Support the migration from Monday.com to HubSpot by setting up key automation flows
- Develop robust integrations using APIs and webhooks to automate CRM functions
- Automate data collection, processing, and reporting workflows
- Create PDF generation and email dispatch systems for reporting and communications
- Set up automated invoicing and billing solutions
- Monitor automation health, debug issues, and improve reliability
- Collaborate with cross-functional teams to understand automation needs
- Document all workflows and provide training to non-technical stakeholders
Please note: This is a full time role, remote role and we are looking for people who can work with us long-term
Perks, Culture, and Growth
- Remote-first: Work from anywhere in India
- Competitive salary: INR 12 -16 LPA
- Structured workweek: 7–8 hours per day, 6 days a week (with one fixed weekday off; weekends are not off)
- Greenfield projects: Much of our automation framework will be built by you
- Growth opportunities: Expand into systems leadership as we scale
- Direct collaboration: Work closely with international teams and leadership
- Supportive benefits: Ownership of your work, clear processes, and strong cross-team alignment
- High-impact role: See your systems directly support thousands of student journeys
What We’re Looking For
The more of these you bring, the stronger the fit, but we do not expect perfection.
Must-Haves
- 3+ years in automation, workflow engineering, or systems integration
- Strong hands-on experience with Make.com
- Familiarity with APIs, webhooks, and common data structures (JSON, CSV)
- Experience with Monday.com, HubSpot, Google Sheets, and document tools
- High attention to detail and strong problem-solving skills
- Ability to work independently and manage multiple projects
Nice-to-Haves (Not Dealbreakers)
- Basic knowledge of JavaScript or Python
- Experience in a cross-functional or startup environment
- Exposure to automation involving CRMs, LMSs, or other education platforms",6.0,10.0,8.0,India,India,TRUE,Posted 2 weeks ago,2025-10-04T08:00:05.321Z,Hourly,Intermediate,India,"JavaScript, Python, REST API, Make.com, Data Structures, Node.js, Next.js",Contour Education,contour education,high,product_company,is_plain
QA Testing,1.9909355696468465e+18,~021990935569646846331,https://www.upwork.com/jobs/Web-Based-Bug-Tracking-System-for-Software-Testing_~021990935569646846331/?referrer_url_path=/nx/search/jobs/,Web-Based Bug Tracking System for Software Testing,"**Job Title: Web Developer for Bug Tracking System**
**Job Description:**
We are seeking a talented web developer to design and implement a web-based bug tracking system tailored for efficient software testing. This innovative platform will feature an intuitive interface for users to report bugs easily, along with a visual dashboard to showcase the current status of all reported issues. Will be hosted remotely with a reputable and reliable cloud service or self-hosted.
The ideal candidate will possess a strong background in web development and a solid understanding of software testing methodologies. Your skills will be instrumental in enhancing our bug tracking process and elevating the overall quality of our software products.
This is an initial posting to select a suitable candidate",,,,Australia,Australia,unknown,Posted 13 hours ago,2025-11-19T00:34:00.769Z,Hourly,Intermediate,,"JavaScript, Functional Testing, Web Testing, PHP, Bug Reports, Web Development, Python",This,this,high,product_company,is_plain
QA Testing,1.989024728015451e+18,~021989024728015450812,https://www.upwork.com/jobs/SDET-Interviewer-for-Selenium-Java-Playwright-TypeScript_~021989024728015450812/?referrer_url_path=/nx/search/jobs/,SDET Interviewer for Selenium/Java OR Playwright/TypeScript,"We are seeking an experienced SDET to conduct technical interviews for candidates on an hourly basis. The role involves evaluating candidates on their skills in Selenium/Java, Playwright/TypeScript, and manual testing fundamentals. The ideal candidate will have strong hands-on experience and good communication skills for providing structured feedback.",4.0,10.0,7.0,India,India,FALSE,Posted 5 days ago,2025-11-13T17:37:04.361Z,Hourly,Intermediate,,"Java, Software QA, Automated Testing, Selenium, TypeScript, JavaScript, Selenium WebDriver",OR Playwright/TypeScript We,or playwright/typescript we,high,individual_or_undefined,seeking
QA Testing,1.9888404606493012e+18,~021988840460649301504,https://www.upwork.com/jobs/Android-Mobile-Web-App-Testing-for-Romania-with-Orange-Romania-Vodafone-Romania_~021988840460649301504/?referrer_url_path=/nx/search/jobs/,"Android Mobile Web/App Testing for Romania with Orange Romania, Vodafone Romania","We have Android Mobile application/web service which we have designed for Romania
TESTER HAS TO BE LOCAL BASED OUT OF Romania WITH A PREPAID SIM CONNECTION FROM Orange Romania, Vodafone Romania.
Freelancer has to be available and conduct testings . Each testing has to be video recorded using software on mobile. 1)Mobile device has to be a smart phone. 2) there should good internet connection on the phone
3) Testing should be conducted in the way - team shall advice . 4) Test results should be maintained in an excel sheet along with Video recording. ( screen recording ) 4) results should be immediately shared on email
so in short its 2 step process of testing
see u just have to process this steps n capture video of it.
Let us explain the whole process for the testing time calculation for every tester. Kindly follow the same.
1) Whenever tester will test the service, it is not always to test for 1 hour each time. As per our process, testing should be completed within 15 minutes along with testing video for 1 round of testing. For un-subscribe the testing service, testing time should be under in 10 min with test video.
2) Testing time will be calculated as total of his/her accumulated testing time (As per tested minutes given by our testing team) on weekly basis
3) And also while calculating the testing timing, we only calculate the time when tester starts testing the link till tester shared the tested video (Note: It should be within 15 minutes and discussion time is not included)",4.0,5.0,4.5,India,India,TRUE,Posted 5 days ago,2025-11-13T05:24:51.585Z,Hourly,Entry Level,Algeria,"Bugzilla, Android, Mobile App Testing, Manual Testing, Smartphone, Web Testing, Software QA, iOS",,,none,individual_or_undefined,none
